content_id,title,contentType,lang
-6451309518266744832,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",HTML,en
-4110354420726924800,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",HTML,en
-7292285110016211968,Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,HTML,en
-6151852268067518464,Google Data Center 360° Tour,HTML,en
2448026894306402304,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",HTML,en
-2826566343807132160,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,HTML,en
-2148899391355011328,Banks Need To Collaborate With Bitcoin and Fintech Developers,HTML,en
4119190424078848000,Blockchain Technology Could Put Bank Auditors Out of Work,HTML,en
-7926018713416777728,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,HTML,en
3353902017498793984,The Rise And Growth of Ethereum Gets Mainstream Coverage,HTML,en
-9157338616628196352,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,HTML,pt
1805789466376069120,Setting Up HTTP(S) Load Balancing,HTML,en
-2081760549863309824,Setting Up SSL proxy for Google Cloud Load Balancing,HTML,en
-5170198873410718720,NTT to buy Dell's services division for $3.05 billion,HTML,en
-3367778232969996288,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",HTML,en
4988225165850707968,The internet of a billion things | ET CIO,HTML,en
-5917314377186856960,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,HTML,pt
6157037646878010368,Rede Agricultura de Precisão II,HTML,pt
6023609667389715456,Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,HTML,en
7905485530310717440,Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,HTML,en
8194079557551008768,Using Gamified Hacking Challenges To Attract New Blockchain Developers,HTML,en
-1672166631728511232,O potencial do bitcoin na América Latina,HTML,pt
-4374331682165863936,From fine wine to lotteries: Blockchain tech takes off - BBC News,HTML,en
5714314286511882240,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,HTML,pt
-8141818108252244992,Pimp My Pitch: como fazer um Pitch poderoso,HTML,pt
-8939172344092555264,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,HTML,en
-1591454024897803264,How OKCupid Changed Hiring Forever.,HTML,en
-6874540813378776064,The Hierarchy of Engagement - Greylock Perspectives,HTML,en
-3173020603774823936,Welcome Google Cloud Platform!,HTML,en
-9107331682787867648,Hopper raises $16 million for a travel app that tells you the best time to fly,HTML,en
-1021685224930603776,Indústria 4.0: desafios e oportunidades,HTML,pt
1392715980907132928,MedStar Washington Potentially Affected By Bitcoin Ransomware,HTML,en
-6142462826726347776,CoinFest 2016: Uniting the World's Bitcoiners,HTML,en
2255603060224026880,French Senate Will Debate on Bitcoin Regulation,HTML,en
3037840448416371712,Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,HTML,en
