content_id,title,contentType,lang
-6451309518266745024,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",HTML,en
-4110354420726924665,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",HTML,en
-7292285110016212249,Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,HTML,en
-6151852268067518688,Google Data Center 360° Tour,HTML,en
2448026894306402386,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",HTML,en
-2826566343807132236,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,HTML,en
-2148899391355011268,Banks Need To Collaborate With Bitcoin and Fintech Developers,HTML,en
4119190424078847945,Blockchain Technology Could Put Bank Auditors Out of Work,HTML,en
-7926018713416777892,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,HTML,en
3353902017498793780,The Rise And Growth of Ethereum Gets Mainstream Coverage,HTML,en
-9157338616628196758,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,HTML,pt
1805789466376069146,Setting Up HTTP(S) Load Balancing,HTML,en
-2081760549863309770,Setting Up SSL proxy for Google Cloud Load Balancing,HTML,en
-5170198873410718233,NTT to buy Dell's services division for $3.05 billion,HTML,en
-3367778232969996503,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",HTML,en
4988225165850707692,The internet of a billion things | ET CIO,HTML,en
-5917314377186856799,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,HTML,pt
6157037646878010131,Rede Agricultura de Precisão II,HTML,pt
6023609667389715259,Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,HTML,en
7905485530310717815,Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,HTML,en
8194079557551008273,Using Gamified Hacking Challenges To Attract New Blockchain Developers,HTML,en
-1672166631728511207,O potencial do bitcoin na América Latina,HTML,pt
-4374331682165863764,From fine wine to lotteries: Blockchain tech takes off - BBC News,HTML,en
5714314286511882372,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,HTML,pt
-8141818108252244664,Pimp My Pitch: como fazer um Pitch poderoso,HTML,pt
-8939172344092554931,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,HTML,en
-1591454024897803197,How OKCupid Changed Hiring Forever.,HTML,en
-6874540813378776198,The Hierarchy of Engagement - Greylock Perspectives,HTML,en
-3173020603774823976,Welcome Google Cloud Platform!,HTML,en
-9107331682787867601,Hopper raises $16 million for a travel app that tells you the best time to fly,HTML,en
-1021685224930603833,Indústria 4.0: desafios e oportunidades,HTML,pt
1392715980907132808,MedStar Washington Potentially Affected By Bitcoin Ransomware,HTML,en
-6142462826726347616,CoinFest 2016: Uniting the World's Bitcoiners,HTML,en
2255603060224026824,French Senate Will Debate on Bitcoin Regulation,HTML,en
3037840448416371691,Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,HTML,en
7767869406844505704,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,HTML,en
-7202774608580336956,Enable the new Google Contacts for your users from the Admin console,HTML,en
5822211783543822544,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,HTML,en
6152652267138213180,Staying one step ahead at Pixar: An interview with Ed Catmull,HTML,en
9032993320407723266,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",HTML,en
7520301770873472812,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,HTML,pt
-5715266554592745669,Robots are coming for your job,HTML,en
8545647269051113523,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,HTML,en
668505019835540303,Bayesian machine learning,HTML,en
